total,account
22797157,seedsembassy
20000000,integrity333
5000000,samaradhoooo
4360000,renaissanceu
3123634,grllagallery
2816000,igorberlenko
2811380,fwfrontiers1
2735000,oowseedslove
1777000,renexplorers
1500000,sandhillsf2t
1387000,fincasagrada
1225370.04,mangwendeoct
1125000,dstudioproto
639000,gesundaseeds
632544,gradinagruiu
520000,lecielfuture
500000,eventandfest
500000,theseedsgame
500000,clean4planet
500000,cagettenetfr
500000,zerofoodprt1
422001,thealchemist
400000,openclimatec
380000,stanleynyoni
340000,bethechangec
340000,contourlinez
327000,permacuibera
314482,weworldpeace
306600,carleymonty1
300000,designskunks
294500,perfectcommu
294000,bomaikolojia
276507,elviverolago
273060,giftgardunha
250000,chirandu1234
250000,genseedsrwds
236500,seeding1love
226000,cassiuscarv1
222500,collabdesign
208000,onetimesone1
200000,dandyshaman1
200000,gratz.seeds
200000,kinshipearth
200000,grassrootsec
200000,syddreams123
200000,jaquerespeis
200000,hastenregen1
200000,weareessency
188500,positivevibe
187500,chachacomke1
180000,ionregenerar
175000,retribelife1
172500,paulinhoy434
170000,sabereslibre
166900,imbojuniorac
160000,avivaaviva12
152316,thesisters23
150000,alenjudaddy2
147650,sempervivum1
147432,valueflowlab
145000,m2ocommunity
132000,solyvalleorg
125000,seedslibrary
123456,dianabehrens
111000,playfightnow
104000,thirteendays
101400,judithlucas4
100000,baricharareg
100000,socentav1234
100000,rbretminster
88888,communityfnd
82000,rebuild555co
58667,huertosparat
50000,feastonlife3
50000,zaydelzaydel
40000,samenspendep
39716,icinetworkld
33330,loveandlight
29868,invite.seeds
25000,paulcoleman1
22200,abasicincome
20000,faanch1134ac
13052,atitlanhrbls
10000,thecatalyzer
2500,localearth11
1000,tlosto.seeds
