Account Name,Amount to costak.hypha
scientisttop,27255.000
pedromoscoso,17309.000
forevergreen,12133.800
kuntterbunt1,6825.000
donations.gm,2275.000
romboxen1234,7597.200
freedomcell1,1625.700
hanssprungli,213.450
rpiesveloces,205.150
stephend1111,213.750
bigorna12345,29.950
nadimhamdan1,27.950
originalogos,25.450
atmalife2312,23.150
blockchain5d,8.200
twakefield14,5.000
jcroemer1111,5.000
coldstorage1,20.000
rory,4.300
andytheseeds,4.100
belledemoise,1.400
pedroteux123,0.500
apostolseeds,0.400
